1,1,30/01/2023,15:00
2,2,30/01/2023,15:00
3,3,30/01/2023,15:00
4,4,30/01/2023,15:00
5,5,30/01/2023,15:00
6,6,30/01/2023,15:00
7,7,30/01/2023,15:00
8,8,30/01/2023,15:00
9,9,30/01/2023,15:00
10,10,30/01/2023,15:00
11,11,30/01/2023,15:00
12,12,30/01/2023,15:00
13,13,30/01/2023,15:00
14,14,30/01/2023,15:00
15,15,30/01/2023,15:00
16,16,30/01/2023,15:00
17,17,30/01/2023,15:00
18,18,30/01/2023,15:00
19,19,30/01/2023,15:00
20,20,30/01/2023,15:00
21,21,30/01/2023,15:00
22,22,30/01/2023,15:00
23,23,30/01/2023,15:00
24,24,30/01/2023,15:00
25,25,30/01/2023,15:00
26,26,30/01/2023,15:00
27,27,30/01/2023,15:00
28,28,30/01/2023,15:00
29,29,30/01/2023,15:00
30,30,30/01/2023,15:00
31,31,30/01/2023,15:00
32,32,30/01/2023,15:00
33,33,30/01/2023,15:00
34,34,30/01/2023,15:00
35,35,30/01/2023,15:00
36,36,30/01/2023,15:00
37,37,30/01/2023,15:00
38,38,30/01/2023,15:00
39,39,30/01/2023,15:00
40,40,30/01/2023,15:00
41,41,30/01/2023,15:00
42,42,30/01/2023,15:00
43,1,31/01/2023,10:00
44,2,31/01/2023,10:00
45,3,31/01/2023,10:00
46,4,31/01/2023,10:00
47,5,31/01/2023,10:00
48,6,31/01/2023,10:00
49,7,31/01/2023,10:00
50,8,31/01/2023,10:00
51,9,31/01/2023,10:00
52,10,31/01/2023,10:00
53,11,31/01/2023,10:00
54,12,31/01/2023,10:00
55,13,31/01/2023,10:00
56,14,31/01/2023,10:00
57,15,31/01/2023,10:00
58,16,31/01/2023,10:00
59,17,31/01/2023,10:00
60,18,31/01/2023,10:00
61,19,31/01/2023,10:00
62,20,31/01/2023,10:00
63,21,31/01/2023,10:00
64,22,31/01/2023,10:00
65,23,31/01/2023,10:00
66,24,31/01/2023,10:00
67,25,31/01/2023,10:00
68,26,31/01/2023,10:00
69,27,31/01/2023,10:00
70,28,31/01/2023,10:00
71,29,31/01/2023,10:00
72,30,31/01/2023,10:00
73,31,31/01/2023,10:00
74,32,31/01/2023,10:00
75,33,31/01/2023,10:00
76,34,31/01/2023,10:00
77,35,31/01/2023,10:00
78,36,31/01/2023,10:00
79,37,31/01/2023,10:00
80,38,31/01/2023,10:00
81,39,31/01/2023,10:00
82,40,31/01/2023,10:00
83,41,31/01/2023,10:00
84,42,31/01/2023,10:00
85,1,02/02/2023,08:00
86,2,02/02/2023,08:00
87,3,02/02/2023,08:00
88,4,02/02/2023,08:00
89,5,02/02/2023,08:00
90,6,02/02/2023,08:00
91,7,02/02/2023,08:00
92,8,02/02/2023,08:00
93,9,02/02/2023,08:00
94,10,02/02/2023,08:00
95,11,02/02/2023,08:00
96,12,02/02/2023,08:00
97,13,02/02/2023,08:00
98,14,02/02/2023,08:00
99,15,02/02/2023,08:00
100,16,02/02/2023,08:00
101,17,02/02/2023,08:00
102,18,02/02/2023,08:00
103,19,02/02/2023,08:00
104,20,02/02/2023,08:00
105,21,02/02/2023,08:00
106,22,02/02/2023,08:00
107,23,02/02/2023,08:00
108,24,02/02/2023,08:00
109,25,02/02/2023,08:00
110,26,02/02/2023,08:00
111,27,02/02/2023,08:00
112,28,02/02/2023,08:00
113,29,02/02/2023,08:00
114,30,02/02/2023,08:00
115,31,02/02/2023,08:00
116,32,02/02/2023,08:00
117,33,02/02/2023,08:00
118,34,02/02/2023,08:00
119,35,02/02/2023,08:00
120,36,02/02/2023,08:00
121,37,02/02/2023,08:00
122,38,02/02/2023,08:00
123,39,02/02/2023,08:00
124,40,02/02/2023,08:00
125,41,02/02/2023,08:00
126,42,02/02/2023,08:00
